"town","address","tower_type","height","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Enfield","**** King Street","monopole","150","Cingular @ 148'","clearwire @ 140'","GOGO @ 101' & 110'",,,,,,
"Middletown","*** DeKoven Drive","rooftop","168'","Cingular @ ?",,,,,,,,
"New Haven","** Warren Street","rooftop",,"T-Mobile @ 64'",,,,,,,,
"Redding","*** Black Rock Turnpike","monopole","150","AT&T @ 150'","town antennas @ var.","Verizon @ 140'","AT&T @ 145'",,,,,
"Newington","*** West Hill Road","utility pole","36","Verizon @ 36'",,,,,,,,
"Westport","** Jesup Road","monopole","100",,,,,,,,,
"Waterbury","** Wolcott Road","church steeple",,"Cingular @ 69'",,,,,,,,
"New Haven","*** (***) Whalley Avenue","rooftop",,"T-Mobile @ 67'","Verizon @ 45'","AT&T @ 57'",,,,,,
"Greenwich","* Greenwich Plaza - Arch Street","rooftop","51'-100'","Cingular @ 102'","T-Mobile @ 74'","Verizon @ 100'","Nextel @ 80'","clear wireless @ 85'",,,,
"East Hartford","May Road","utility pole","26","Verizon @ 26'",,,,,,,,
"South Windsor","*** Pleasant Valley Road","monopole","174","Verizon @ 130'",,,,,,,,
"Stonington","** Summit Street","water tank",,"Cingular @ 110'","Verizon @ 140'","T-Mobile @ 120'",,,,,,
"Hartford","** Farmington Avenue","rooftop",,"Cingular @ 181'",,,,,,,,
"Cromwell","West Street","rooftop","16'",,,,,,,,,
"Oxford","** Great Oak Road","monopole","150","Cingular/AT&T @ 130'","Verizon @ 140'","Sprint @ 150'","DISH @ 117'",,,,,
"Lisbon","*** River Road","billboard","195","T-Mobile @ 65'",,,,,,,,
"Manchester","*** Main Street","rooftop",,"T-Mobile @ 50'",,,,,,,,
"Chester","* High Street","semi self supporting","42",,,,,,,,,
"Bristol","Jasmine Street","utility pole","30","Verizon @ 30'",,,,,,,,
"Middlefield","*** Jackson Hill Road","monopole","150","Cingular/AT&T @ 98'","Nextel @ 148'","Verizon @ 138'","town @ 108'","Dish @ 98'",,,,
"Newtown","* Ferris Road","monopole","120","Sprint @ 108'","Verizon @ 98'","Cingular/AT&T @ 88'",,,,,,
"New London","** Debiasi Drive","rooftop","52","Verizon @ 48'",,,,,,,,
"Westport","**** Post Road East","rooftop","28","Verizon @ 38'",,,,,,,,
"New London","Ocean Avenue","utility pole","37","Verizon @ 37'",,,,,,,,
"Stratford","*** Access Road","rooftop","49' 8""","T-Mobile @ 54'",,,,,,,,
"East Windsor","** Chamberlain Rd","water tower","123","Sprint @ 104'","Verizon @ 116'","MetroPCS @ 116'","T-Mobile @ 104'",,,,,
"Plainville","* Central Square (**-** East Main Street)","monopole","85'","Verizon @  81'",,,,,,,,
"Groton","** Cathedral Heights","steeple",,"T-Mobile @ 68'",,,,,,,,
"Windsor","Rood Avenue","power mount","148","T-Mobile @ 164'",,,,,,,,
"Fairfield","**** Easton Turnpike","rooftop","81",,,,,,,,,
"Greenwich","*** East Putnam Avenue","utility pole","36","AT&T @ 36'",,,,,,,,
"Meriden","** West Peak Dr","self-supporting lattice","150","Verizon @ 98'6""","Sprint @ 60'","T-Mobile @ 130'","Nextel @ 115'",,,,,
"New Canaan","Oak Street","utility pole","24","Verizon @ 24'",,,,,,,,
"Old Saybrook","Middlesex Turnpike (RT. *)/*** Bokum Rd. - North","guyed lattice","198","T-Mobile @ 167'8""/155'8""","Verizon @ 120'",,,,,,,
"Tolland","*** Reed Road","monopole","150","Nextel @ 148'","T-Mobile @ 137.5'",,,,,,,
"Hartford","** Elliott Street","rooftop",,"T-Mobile @ 50'",,,,,,,,
"West Hartford","*** North Main Street","rooftop","73'","Cingular @ 78'","Sprint @ 100'","T-Mobile @ 102'",,"Nextel @ 80'",,,,
"Milford","*** Seaside Avenue","rooftop",,,,,,,,,,
"Waterbury","*** Store Avenue","rooftop","60'","Cingular @ 63'","T-Mobile @ 55'","Sprint 55'",,,,,,
"Southbury","*** Upper Fish Rock Road","monopole","100","Verizon @ 100'","town @ 100'","AT&T @ 96'","Dish @ 78",,,,,
"Waterbury","***-*** Mill Street","rooftop","69'","Verizon @ 69'",,,,,,,,
"New Haven","*** Howard Avenue","rooftop",,,,,,,,,,
"Stamford","*** Old Long Ridge Road","self-supporting lattice","152","Sprint @ 128'","Nextel @ 119'","Cingular/AT&T @ 148'","T-Mobile @ 108'","Verizon @ 98'","DIsh @ 108'",,,
"Southington","Lake Compounce Amusement Park Campground","small cell","22","Verizon @ 26.4'",,,,,,,,
"New Haven","Foxon Boulevard","utility pole","38","Verizon @ 38'",,,,,,,,
"Coventry","*** Bread and Milk Street","monopole","175","Cingular/AT&T @ 162'","T-Mobile @ 172'","DISH @ 153'",,,,,,
"Woodstock","*** Norwich Worcester Tpke, Woodstock fairgrounds","wood utility pole","30","Verizon @ 30'",,,,,,,,
"Glastonbury","**** (****) New London Turnpike","monopole","154'","Sprint @ 150'","MetroPCS @ 140'","clearwire @ 130'","Dish @ 137'",,,,,
"Killingworth","Rt **","guyed lattice","370","storer @ 370'",,,,,,,,
"Old Lyme","*** (**) Short Hills Road","monopole","180","Nextel @ 160'","Verizon @ 161'",,,,,,,
"Southington","**** Meriden-Waterbury Rd (Route ***)","monopole","150","Nextel @ 138'","Verizon @ 138'","Cingular/AT&T @ 158'","T-Mobile @ 128'","MetroPCS @ 119'",,,,
"Manchester","** Mitchell Drive","self-supporting lattice","170","marcus @ 170'","Verizon @ 100'","T-Mobile @ 140-ft","DISH @ 170'",,,,,
"Suffield","*** East Street South","monopole","165'","T-Mobile @ 165'","Verizon @ 155'","MetroPCS @ 145'","dish @ 126'",,,,,
"Stafford","*** (***) Stafford Street","monopole","150","Sprint @ 120'","Verizon @ 127'",,,,,,,
"Bridgeport","*** Maplewood","rooftop",,"T-Mobile @ 68'","Verizon @ 128/123'",,,,,,,
"Farmington","**** Farmington Avenue","rooftop","84'","Verizon @ 84'",,,,,,,,
"New Haven","*** Ferry Street","rooftop",,"Verizon @ 75'",,,,,,,,
"Woodbridge","**** Litchfield Turnpike","rooftop",,"Sprint @ 47'",,,,,,,,
"New Milford","*** Kent Road","church steeple","88'9""","Sprint @ 78'",,,,,,,,
"Middletown","**** Saybrook Road","monopole","150","T-Mobile @ 110'","Cingular @ 130'","Nextel @ 102'","Verizon @ 142'","Dish @ 121'",,,,
"Meriden","**-** S. Vine Street","smokestack/rooftop",,"Sprint @ 60'",,,,,,,,
"Middletown","** Training Hill Road","utility pole","37","Verizon @ 37'",,,,,,,,
"Tolland","* Barbara Rd/** Ruops Road","monopole","150","Cingular @ 150'","Sprint @ 130'","T-Mobile @ 160'","Cingular/AT&T @ 110'","Nextel @ 120'","Verizon @ 142'","Dish @ 93'",,
"New Britain","*** Martin Luther King Drive","rooftop",,"T-Mobile @ 90'",,,,,,,,
"Stamford","** Station Place","rooftop",,"Cingular @ 75'",,,,,,,,
"Griswold","*** (***) Bishop Crossing Road","silo",,"T-Mobile @ 62'",,,,,,,,
"Lyme","** Gungy Road/*** Beaver Brook Road","monopole","180","AT&T @ 177'",,,,,,,,
"Darien","* Raiders Lane","in-building IP access",,"T-Mobile",,,,,,,,
"Norwalk","** Norden Place","smokestack",,"Sprint @ 100'",,,,,,,,
"Ansonia","** West Main Street",,"45'",,,,,,,,,
"Plainville","** West Main Street","self-supporting lattice","80'","T-Mobile @ 77'",,,,,,,,
"North Branford","** Commerce Drive","monopole","155","T-Mobile @ 155'","Cingular @ 145'","Verizon @ 132'","Dish @ 120'",,,,,
"Middlebury","Intersection of Straits Turnpike and Park Road","utility pole","38","Verizon @ 38'",,,,,,,,
"Bridgeport","Madison Avenue","utility pole","32","Verizon @ 31.5'",,,,,,,,
"Salem","*** Witch Meadow Rd","monopole","197","Cingular @ 186'","Cingular/AT&T @ 175'","Sprint @ 195'","T-Mobile @ 175'",,,,,
"Old Lyme","*** Mile Creek Road","monopole","170","Verizon @ 157.5'","Cingular @ 137.5'","T-Mobile @ 170'",,,,,,
"Manchester","** Adams Street","monopole","140","pagenet @ 140'","Verizon @ 90'","Cingular @ 125'","Sprint @ 115'","Nextel @ 100'","T-Mobile @ 135'","DISH @ 100'",,
"Danbury","* East Gate Road","utility pole","25","Verizon @ 25.2'",,,,,,,,
"Stamford","**** Summer Street","rooftop",,"Sprint @ 98'","T-Mobile @ 107'","MetroPCS @ 120.5'",,,,,,
"Berlin","*** Harding Street","smokestack",,"Sprint @ 73'",,,,,,,,
"Milford","*** Bridgeport Ave","monopole","100","Cingular @ 100'/73'","Sprint/Nextel @ 80' & 90'","DISH @ 93'",,,,,,
"Simsbury","** Albany Turnpike","rooftop","32","Verizon @ 32'",,,,,,,,
"Danbury","** Padanaram Road","monopole","145","T-Mobile @ 128'","Verizon @ 118'","AT&T @ 140'","DISH @ 130'",,,,,
"Bridgeport","*** Savoy Street","utility pole","23","AT&T @ 23'",,,,,,,,
"Fairfield","**** Kings Highway","rooftop",,"MetroPCS @ 72'",,,,,,,,
"Bridgeport","*** Newfield Avenue","billboard",,"T-Mobile @ 10'",,,,,,,,
"Hartford","*** Brainard Road","smokestack","110'","T-Mobile @ 103'",,,,,,,,
"Farmington","*** Colt Highway (Rattlesnake Mountain)","guyed lattice","120","T-Mobile @112'",,,,,,,,
"Southbury","Cassidy Rd. (Southbury Training School)","self-supporting lattice","180","dps @ ?",,,,,,,,
"Hamden","*** Evergreen Avenue","silo","108","Cingular @ 85'","Sprint @ 75'","Verizon @ 95'","MetroPCS @ 65'","T-Mobile @ 104'","DISH @ 65'",,,
"Derby","** Divison Street","rooftop",,"Verizon @ 30'",,,,,,,,
"Middletown","*** Hunting Hill Avenue","rooftop",,"T-Mobile @ 70'","Sprint @ 60'","Verizon @ 53'",,,,,,
"Wilton","Route */Pimpewaug Road","power mount","105","T-Mobile @ 112'",,,,,,,,
"East Lyme","** Brainerd Road","monopole","170","AT&T @ 167'","Verizon @ 147'","T-Mobile @ 157'","DISH @ 135'",,,,,
"Madison","**** Durham Road (Rt **)","monopole","120","Cingular/AT&T @ 120'",,,,,,,,
"Hartford","*** Market Street","small cell","40'","Verizon @ 38'",,,,,,,,
"Newington","*** Costello Road","monopole","115","Verizon @ ?","Cingular @ 105'","T-Mobile @ 95'",,,,,,
"Branford","*** Pine Orchard Road","utility pole","36","Verizon @ 36.4'",,,,,,,,
"Cromwell","*** Corporate Road","in-building IP access",,"T-Mobile",,,,,,,,
"Orange","** South Orange Center Road","monopole","180","Sprint @ 127'","Verizon @ 117'","Cingular @ 177'","Nextel @ 137'","T-Mobile @ 148'","DISH @ 167",,,
"East Hartford","**** Forbes St","monopole","130","Verizon @ 108'","Sprint @ 97'","T-Mobile @ 85'","Cingular/AT&T @ 120'","Dish @ 77",,,,
"Canaan","** Railroad Street","pole","23'",,,,,,,,,
"Norwalk","*** Main street","utility pole","34'","AT&T @ 36'",,,,,,,,
"Seymour","** (**) Rimmon Street","monopole","150'","MetroPCS @ 138'",,,,,,,,
"Hartford","*** Capitol Ave. (State Office Bldg.)","building mount","90","necs @ 63'","dps @ 80'",,,,,,,
"New Haven","*** Lloyd Street","utility pole","27","AT&T @ 26.58'",,,,,,,,
"Monroe","*** Main Street","monopole","195","Cingular/AT&T @ 140'","T-Mobile @ 195'","Verizon @ 160'",,,,,,
"Manchester","*** Utopia Road","rooftop",,"Sprint",,,,,,,,
"Meriden","*** Pratt Street","rooftop",,"Cingular @ 82'",,,,,,,,
"Trumbull","*** (**) Merrimac Dr.","water tank","45","AT&T @ 44'","T-Mobile @ 46'","Verizon @ 43.8'",,,,,,
"East Haven","*** Commerce Street","monopole","57","Cingular/AT&T @ 57'","T-Mobile @ 47'",,,,,,,
"New London","*** Montauk Avenue","rooftop",,"T-Mobile @ 81'",,,,,,,,
"Bridgeport","*** Main Street","rooftop",,"Cingular @ 100'","Sprint @ 127'","T-Mobile @ 100'",,,,,,
"Thompson","** Lowell Davis Rd","guyed lattice","250","tele-media @ 245'","Cingular @ 205'","conn-2 @ 235'","Verizon @ 180/190/237/227'",,,,,
"Stratford","**** Main Street","rooftop","68' 4""","Sprint @ 98'","Nextel @ 63'","Verizon @ 57'",,,,,,
"Bristol","Morris Avenue","utility pole","36","Verizon @ 35'",,,,,,,,
"Rocky Hill","*** Orchard Street","utility pole","18","Verizon @ 18'",,,,,,,,
"Windsor","**** Matianuck Avenue","monopine","110","Cingular @ 108'","clearwire @ 87'","T-Mobile @ 87'",,,,,,
"Danbury","West Street","utility pole","37","Verizon @ 37'",,,,,,,,
"New Haven","*** Chapel Street (*** East Street)","rooftop",,"T-Mobile @ 71'","AT&T @ 67'",,,,,,,
"Killingly","Westcott Rd","self-supporting lattice","140","dps @ 140'","quinn. Valley emerg @ 50'",,,,,,,
"Bloomfield","*** Blue Hills Avenue","monopole","110","Verizon @ 110","clearwire @ 95'",,,,,,,
"Enfield","*** Bright Meadow Road, bldg. *","rooftop",,"T-Mobile @ 75'",,,,,,,,
"Guilford","*** Boston Post Road","small cell","23","Verizon @ 30'",,,,,,,,
"Montville","*** Sharp Hill Road","self-supporting lattice","100","Dish @ 75'",,,,,,,,
"South Windsor","** McGuire Road","monopole","150","Sprint @ 150'","Cingular @ 120'","T-Mobile @ 140'",,,,,,
"Bridgeport","West Avenue","utility pole","24","Verizon @ 24'",,,,,,,,
"Norwalk","*** Connecticut Ave","monopole","150","Cingular @ 150'",,,,,,,,
"Enfield","** Elm Street, Space **D","in-building IP access",,"T-Mobile",,,,,,,,
"Greenwich","Sound Shore Drive (CL&P #****)","self-supporting lattice with power mount","150","AT&T @ 160'",,,,,,,,
"Hartford","*** Retreat Avenue","rooftop","118'","Cingular @ 125'","Sprint @ 118'","Verizon @ 117.5'","T-Mobile @ 118'",,,,,
"Greenwich","*** Riversville Road","Church spire","85'2""","Sprint @ 68'","Verizon @ 60'","AT&T @ 49'",,,,,,
"Meriden","***-*** West Main Street","monopole","100","Cingular/AT&T @ 100'","T-Mobile @ 88'","Nextel @ 80'","Verizon @ 65'","DISH @ 55'",,,,
"East Hartford","*** Sunset Ridge","self-supporting lattice","140'","T-Mobile @ 120'","AT&T @ 110'",,,,,,,
"North Branford","** Ciro Road","monopole","170","Cingular/AT&T @ 147'","T-Mobile @ 167'","Nextel @ 157'","Dish @ 90'",,,,,
"Windsor","** Pine Lane","monopole","150","Cingular @ 150'","Nextel @ 80'","town @ 156'","Sprint @ 110'","Dish @ 98",,,,
"Waterbury","*** Hill Street","utility pole","36","AT&T @ 36'",,,,,,,,
"Glastonbury","**** Main Street","small cell","29","Verizon @ 28'",,,,,,,,
"Newtown","*** Berkshire Road (Rt. **)","monopole","150","Sprint @ 107.5'","T-Mobile @ 97.5'","town @ 150'","Dish @ 85'",,,,,
"Wallingford","** Gaylord Farm Road","water tank",,"T-Mobile @ 124'",,,,,,,,
"West Haven","* Ocean Avenue","small cell","28","Verizon @ 32'",,,,,,,,
"Westport","* Hales Road","utility pole","36","AT&T @ 35.6'",,,,,,,,
"Eastford","** Old Route **","guyed lattice","193","Nextel @ 166'","Sprint @ 180'","Verizon @ 194'",,,,,,
"Stamford","*** High Ridge Road","utility pole","38","Verizon @ 38'",,,,,,,,
"Glastonbury","** Birch Mtn Rd","self-supporting lattice","140","Cingular @ 130'",,,,,,,,
"Plainfield","**** Norwich Road","monopole","150","T-Mobile @ 140'","Verizon @ 140'",,,,,,,
"Shelton","** Church Street","steeple",,"Cingular @ 55'",,,,,,,,
"East Haven","**** North High Street","rooftop guyed lattice tower","45","verizon @ 75'",,,,,,,,
"Stratford","***B Hawley Lane (#***)","power mount","120","Sprint @ 120'",,,,,,,,
"Stamford","Greyrock Place","utility pole","32","Verizon @ 32'",,,,,,,,
"Southington","*** Executive Boulevard","small cell","73'8""","Verizon @ 77'9""",,,,,,,,
"West Hartford","*** Shield Street","utility pole","34","Verizon @ 34'",,,,,,,,
"New Britain","*** South Main Street","rooftop",,"T-Mobile @ 49'",,,,,,,,
"Wolcott","**** Wolcott Road","self-supporting lattice","350","Nextel @ 200'","Cingular @ 185'","clearwire @ 212'","MetroPCS @ 222'","Dish @ 341'","Dish @ 148'",,,
"Waterbury","*** Mark Lane","utility pole","30","AT&T @ 30'",,,,,,,,
"Vernon","** Main Street","water tank","137","Cingular @ 119'","T-Mobile @ 116'","Verizon @ 107'","MetroPCS @ 115'",,,,,
"North Stonington","**A Pendleton Hill (Routes ** & I-**)","guyed lattice","100","AT&T @ 95'",,,,,,,,
"Manchester","*** Porter Street","utility pole","16","Verizon @ 16'",,,,,,,,
"New Britain","** Martin Luther King Drive","rooftop",,"Nextel @ 107'",,,,,,,,
"Fairfield","*** Jefferson Street","rooftop","210'","Cingular @ 52'","Sprint @ 65'","T-Mobile @ 49/68'","Verizon @ 65'","Nextel @ 65'","MetroPCS @ 63'",,,
"Waterbury","**-** Porter Street","billboard",,"Sprint",,,,,,,,
"Stamford","**** East Main Street","utility pole","36","AT&T @ 36'",,,,,,,,
"Ridgefield","*** Ethan Allen Highway","other - flagpole","100","Sprint @ 80'","Cingular/AT&T @ 70'","T-Mobile @ 85'","Dish @ 82'",,,,,
"Preston","*** Pierce Road","monopole","150","Sprint @ 150'","Cingular/AT&T @ 140'","Dish @ 119'",,,,,,
"Greenwich","Hillside Road","utility pole","31","Verizon @ 31'",,,,,,,,
"Mansfield","*** Storrs Road","self-supporting lattice","30",,,,,,,,,
"Ledyard","*** Vinegar Hill Rd","self-supporting lattice","180","coastal catv @ 110'","dot @ 170'","necs @ 176'","dot,fbi ! 66-180'","T-Mobile @ 187'","Cingular @ 196'",,,
"Windsor","*** Hayden Station Road","monopole","85","T-Mobile @ 75'","Cingular/AT&T @ 98'","Dish @ 65",,,,,,
"Milford","**** Boston Post Road","s-flagpole","88","Cingular @ 47'","Verizon @ 82.5/76.5'","T-Mobile @ 72'",,,,,,
"Enfield","*** Enfield Street","flagpole","100","Cingular @ 95' and 85'",,,,,,,,
"South Windsor","*** Foster Street","rooftop","70'",,,,,,,,,
"Bristol","*** Center Street","steeple",,"Cingular @ 86'",,,,,,,,
"Greenwich","**** East Putnam Avenue","rooftop","35'-47'8""","T-Mobile @ 50&74'","Verizon @ 46.9'","Nextel @ 52.5'","Sprint @ 51'","Dish @ 44'",,,,
"Bolton","*** Vernon Rd","guyed lattice","150","Sprint @ 148'","T-Mobile @ 130'",,,,,,,
"North Branford","Youngs Apple Orchard Rd.","self-supporting lattice","130","Sprint @ 126.5'","T-Mobile @ 138'","DISH @ 83'",,,,,,
"Franklin","* Tyler Drive","self-supporting lattice","180","town @ 180+'","AT&T @ 168'","T-Mobile @ 155'",,,,,,
"Hartford","** Columbus Boulevard","smokestack/rooftop","110'","Cingular @ 65'","Sprint @ 140'","Verizon @ 110'",,,,,,
"Stamford","** Blachley Road","water tank",,"T-Mobile @ 85'","Sprint @ 82'","AT&T @ 83'",,,,,,
"New Haven","**** Whalley Avenue","rooftop",,,,,,,,,,
"Winchester","*** Platt Hill Road","self-supporting lattice","242","Nextel @ 242'","Sprint @ 222'","DISH @ 154'","AT&T @ 170'",,,,,
"Danbury","* Backus Avenue","rooftop",,"Nextel @ ?","T-Mobile @ 58'",,,,,,,
"Middletown","*** Main Street","rooftop","62","Verizon @ 62'",,,,,,,,
"Glastonbury","**** Main St.","self-supporting lattice","169","Cingular @ 165'","Nextel @ 128'",,,,,,,
"Southington","*** Main Street","utility pole","36","Verizon @ 37'",,,,,,,,
"New Haven","*** Winchester Avenue","rooftop",,"T-Mobile @ 75'",,,,,,,,
"Manchester","Manchester Community College - off Ramey Drive","Light Pole","37","AT&T @ 36'",,,,,,,,
"Waterford","*** Vauxhall Street Ext.","water tower","117'","T-Mobile @ 110'",,,,,,,,
"Plainville","*** South Washington","monopole","120","Cingular @ 120'","Verizon @ 110'","T-Mobile @ 100'","MetroPCS @ 76'",,,,,
"Middlebury","* Larkin (I-** at South Ave. overpass)","self-supporting lattice","160","Cingular @ 135'","dps @ 57-160'","Sprint @ 97'","T-Mobile @ 125'","Verizon @ 75'",,,,
"Madison","* Old Route **/* Meetinghouse Lane","monopole","150","Cingular/AT&T @ 110'","Verizon @ 140'","Cingular @ 130'","T-Mobile @ 120'","Sprint @ 96'","MetroPCS @ 86'",,,
"Greenwich","*** Greenwich Avenue","steeple",,"T-Mobile @ 56'",,,,,,,,
"East Windsor","** School Street","guyed lattice",,,,,,,,,,
"Milford","**** Boston Post Road","utility pole","37","Verizon @ 37'",,,,,,,,
"Norwalk","*** Main Avenue","rooftop",,"MetroPCS/T-Mobile @ 106'",,,,,,,,
"New Fairfield","** Misty Brook Lane","in-building IP access",,"T-Mobile",,,,,,,,
"New Haven","*** Washington Avenue","utility pole","38","Verizon @ 38'",,,,,,,,
"North Stonington","*** Norwich Westerly Road (Rt. *)","monopole","150","Cingular/AT&T @ 107'","T-Mobile @ 147'","Verizon @ 137'","emf broadcasting @ 92'","Dish @ 127'",,,,
"Groton","** Skyview Terrace","Water Standpipe","67'","Cingular @ 80'","T-Mobile @ 67'","Nextel @ 82'",,,,,,
"Windsor","*** Prospect Hill Road","monopole","135","T-Mobile @ 130'","Dish @ 115'","Verizon @ 105'",,,,,,
"Old Lyme","**-* Buttonball Road","monopole","100","T-Mobile @ 97'","Dish @ 74'",,,,,,,
"Old Lyme","*** Whippoorwill Rd.","guyed lattice","100","Cingular @ 93'","Verizon @ 78'",,,,,,,
"Norwalk","Norwalk Harbor Station","smokestack","185","cl&p @ ?",,,,,,,,
"New Milford","** Boardman Road","monopole","150","Sprint @ 150'","Nextel @ 140'","Cingular @ 120'","Verizon @ 130'",,,,,
"New Haven","*** State Street","rooftop",,"AT&T @ 58'",,,,,,,,
"West Hartford","** Buena Vista Road","small cell","39","Verizon @ 44.9'",,,,,,,,
"Stamford","*** Main Street","rooftop",,"Sprint @ 142'",,,,,,,,
"Hamden","*** Mix. Ave.","wood utility pole","79","ui @ 79'",,,,,,,,
"New Britain","Loon Lake Rd, aka No. Mtn Rd","monopole","118","T-Mobile @ 108'","T-Mobile @ 108'","AT&T @ 100'","Verizon @ 90'","Dish @ 62'",,,,
"Middletown","*** Roscommon Drive","rooftop",,"Sprint @ 62'/54'",,,,,,,,
"Glastonbury","*** Birch Mountain Rd","self-supporting lattice","199","T-Mobile @ 177'","Cingular/AT&T @ 130'","Nextel @ 180'","DRW @190'",,,,,
"Roxbury","** Lower County Rd.","self-supporting lattice","180","AT&T @ 130'","Verizon @ 163'","Nextel @ 177'","snet @ 118'",,,,,
"Tolland","*** Merrow Road","utility pole","36","Verizon @ 36'",,,,,,,,
"Old Saybrook","*** Ferry Road","lattice-power mount",,"Cingular @ 195'",,,,,,,,
"Westport","** Weston Road","utility pole","24","Verizon @ 24'",,,,,,,,
