"town","address","tower_type","height","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Wallingford","*** (***) Northrop Road","monopole","150","xm @ 100'(ant)/15'(dish)","T-Mobile @ 137.5'","Cingular @ 127'","Cingular/AT&T @ 115'","Nextel @ 154'","DISH @ 115'",,,
"Stonington","*** North Anguilla Road","utility pole","24","Verizon @ 24.75'",,,,,,,,
"New Canaan","*** Soundview Lane","Stealth tree Monopine","85","AT&T @  81'","Verizon @ 71'",,,,,,,
"Middletown","**** Washington Street","rooftop",,"T-Mobile @ 56'","Sprint @ 63'",,,,,,,
"Southington","*** Old Turnpike Road","self-supporting lattice","254.5'","T-Mobile @ 154.5'",,,,,,,,
"Beacon Falls","** Rice Lane","monopole","160","T-Mobile @ 140'","Cingular/AT&T @ 132'","Verizon @ 162'","Sprint @ 150'","Dish @ 152'",,,,
"Westport","** Greens Farms Road","in-building IP access",,"T-Mobile",,,,,,,,
"Newington","****-**** Berlin Turnpike","small cell","32'8""","Verizon @ 31'6""",,,,,,,,
"Plainfield","*** Norwich Road","monopole","130","Sprint @ 127'","Cingular/AT&T @ 117'","Verizon @ 104'",,,,,,
"Hamden","*** (***) Mix Avenue","rooftop",,"Verizon @45.5'",,,,,,,,
"North Haven","*** Washington Ave","monopole","120","Cingular @ 120'","xm @ 110'","T-Mobile @ 110'",,,,,,
"Greenwich","* Sound Shore Drive","rooftop","60","MetroPCS @ 72'",,,,,,,,
"Trumbull","*** Edison Road","monopole","143","T-Mobile @ 130'","Town @ 143'","Verizon @ 109'","Dish @ 99'",,,,,
"Hartford","** Trumbull St","building mount",,"Cingular @ 210'",,,,,,,,
"Derby","** Olivia Street","rooftop",,"Cingular @ 81'",,,,,,,,
"Avon","*** Deercliff Road","guyed lattice","560","Nextel @ 260'","T-Mobile @ 250'","marcus @ 280'","lightsquared @ 557'","AT&T @ 200'","DISH @ 202'",,,
"Lisbon","** Mell Rd","monopole","187","Cingular @ 180'","DISH @ 173",,,,,,,
"Hartford","**** Main Street (** New Donald St)","rooftop",,"Sprint @ 114'","T-Mobile @ 98'",,,,,,,
"Mansfield","*** Stafford Road","utility pole","28","Verizon @ 28'",,,,,,,,
"Clinton","Cedar Island Avenue","utility pole","41","Verizon @ 41'",,,,,,,,
"Prospect","** Waterbury Road","guyed lattice","160","Cingular @ 120'","Nextel @ 152'",,,,,,,
"Trumbull","*** White Plains Road","utility pole","37","Verizon @ 37'",,,,,,,,
"Stratford","***-*** Honeyspot Rd.","monopole","90","metricom @ 68'","Cingular @ 90'","Verizon @ 80'","Sprint @ 72'","MetroPCS @ 101'","Dish @ 62'",,,
"Ridgefield","*** Danbury Road","rooftop","50","Verizon @ 47'",,,,,,,,
"Ridgefield","** East Ridge Road","monopole","130","Verizon @ 130'","Sprint @ 118'","T-Mobile @ 100'","Dish @ 118'",,,,,
"Stratford","York Street","utility pole","25","Verizon @ 25'",,,,,,,,
"New London","** Granite Street","rooftop","55'","Cingular @ ?",,,,,,,,
